,Line_Lyrics
829,and even if i wanted to i cant stop
830,yeah yeah yeah yeah yeah
831,you want me i want you baby
832,my sugarboo im levitating
833,the milky way were renegading
834,i got you moonlight youre my starlight
835,i need you all night come on dance with me 
836,im levitating 
837,you can fly away with me tonight 
838,you can fly away with me tonight
839,baby let me take you for a ride
840,yeah yeah yeah yeah yeah 
841,im levitating 
842,you can fly away with me tonight 
843,you can fly away with me tonight
844,baby let me take you for a ride
845,yeah yeah yeah yeah yeah 
846,i got you moonlight youre my starlight
847,i need you all night come on dance with me
848,im levitating
849,common love isnt for us
850,we created something phenomenal
851,dont you agree 
852,dont you agree 
853,you got me feeling diamond rich
854,nothing on this planet compares to it
855,dont you agree 
856,dont you agree 
857,who needs to go to sleep when i got you next to me 
858,all night ill riot with you
859,i know you got my back and you know i got you
860,so come on come on come on 
861,lets get physical
862,lights out follow the noise
863,baby keep on dancing like you aint got a choice
864,so come on come on come on
865,lets get physical
866,adrenaline keeps on rushing in
867,love the simulation were dreaming in
868,dont you agree 
869,dont you agree 
870,i dont wanna live another life
871,cause this ones pretty nice
872,living it up
873,who needs to go to sleep when i got you next to me 
874,all night ill riot with you
875,i know you got my back and you know i got you
876,so come on come on come on 
877,lets get physical
878,lights out follow the noise
879,baby keep on dancing like you aint got a choice
880,so come on come on come on
881,lets get physical
882,hold on just a little tighter
883,come on hold on tell me if youre ready
884,come on 
885,baby keep on dancing
886,lets get physical
887,hold on just a little tighter
888,come on hold on tell me if youre ready
889,come on 
890,baby keep on dancing
891,lets get physical
892,all night ill riot with you
893,i know you got my back and you know i got you
894,so come on come on come on
895,lets get physical
896,lights out follow the noise
897,baby keep on dancing like you aint got a choice
898,so come on come on come on
899,lets get physical 
900,lets get physical 
901,physical 
902,lets get physical 
903,come on phy phy phy physical
904,im on an island even when youre close
905,cant take the silence id rather be alone
906,i think its pretty plain and simple we gave it all we could
907,its time i wave goodbye from the window
908,lets end this like we should and say were good
909,were not meant to be like sleeping and cocaine
910,so lets at least agree to go our separate ways
911,not gonna judge you when youre with somebody else
912,as long as you swear you wont be pissed when i do it myself
913,lets end it like we should and say were good
914,no need to hide it go get what you want
915,this wont be a burden if we both dont hold a grudge
916,i think its pretty plain and simple we gave it all we could
917,its time i wave goodbye from the window
918,lets end this like we should and say were good
919,were not meant to be like sleeping and cocaine
920,so lets at least agree to go our separate ways
921,not gonna judge you when youre with somebody else
922,as long as you swear you wont be pissed when i do it myself
923,lets end it like we should and say were good
924,now youre holding this against me like i knew you would
925,im trying my best to make this easy
926,so dont give me that look just say were good
927,were not meant to be like sleeping and cocaine
